pointid,ph_cacl2,ph_h20,ec,oc,caco3,p,n,k
39843144,1,1,0,0,0,2,0,1
39883092,1,1,0,0,0,0,0,1
39883120,2,2,0,0,0,2,2,1
39903096,1,1,2,4,3,2,2,1
39943122,0,4,0,4,3,1,0,1
39963136,2,0,2,0,0,2,0,1
40003082,3,1,2,0,3,2,0,0
40083088,1,1,2,0,0,0,0,0
40163108,4,4,0,0,3,4,0,1
40163114,0,4,0,4,3,4,2,1
38583130,1,1,4,4,2,3,4,3
38663098,1,1,2,4,3,2,2,1
38683122,1,1,0,0,2,2,0,0
38703124,2,2,0,0,2,2,0,1
38743106,1,1,2,0,2,2,0,0
38743146,1,1,0,0,2,2,0,1
38763094,1,1,0,0,2,4,0,0
38803102,1,1,0,0,2,2,0,0
38803134,2,2,0,0,2,0,0,1
38883110,1,1,0,0,2,0,0,1
38883118,4,0,0,0,2,0,0,1
38903114,2,2,0,0,2,0,2,1
38943130,2,2,0,0,2,2,0,1
38983092,2,2,0,0,2,4,0,0
38983116,1,1,0,0,2,2,0,1
39063124,1,2,2,0,2,2,0,1
39123144,2,2,0,4,0,2,2,0
39023088,1,1,2,0,3,4,0,0
39083090,1,1,2,0,2,0,0,1
39123108,2,2,2,0,0,0,0,0
39183118,2,2,2,0,0,0,0,0
39203112,2,2,2,0,0,4,0,1
39263086,0,4,0,4,3,0,0,1
39303086,0,4,0,4,3,1,2,1
39423106,1,1,2,0,0,4,0,1
39563098,1,1,2,0,3,2,0,0
39563112,2,0,2,0,0,0,2,1
39623104,4,0,0,4,3,1,2,0
39703092,1,1,0,0,3,0,0,0
39743088,1,1,0,0,0,2,0,0
39743098,1,1,2,0,0,2,0,0
39803096,1,1,2,0,3,2,2,3
38043130,3,3,0,0,3,4,0,1
38083120,1,1,2,0,2,2,0,0
38083128,3,3,2,0,3,2,0,0
38103106,1,1,0,0,2,4,0,1
38143104,1,1,0,0,2,4,0,1
38183132,1,1,4,4,2,2,2,0
38203100,1,1,2,0,2,4,0,0
38203142,3,3,2,0,3,4,2,3
38223144,3,3,2,0,2,4,0,3
38263134,2,2,0,0,2,0,0,1
38383124,1,1,2,0,2,2,0,1
38403112,1,1,2,0,2,2,0,0
38443098,2,2,0,0,3,0,0,1
38463096,1,1,0,0,3,0,0,1
38463106,1,1,0,0,2,2,0,0
38483116,3,1,2,0,3,2,0,1
38483134,0,4,0,4,3,4,2,1
38523118,1,1,2,4,3,0,2,0
38523136,1,1,0,0,2,0,0,1
38543096,2,2,2,0,2,0,0,0
38543122,1,1,2,0,2,2,0,0
39123076,2,2,0,0,3,4,2,1
39223078,1,1,2,0,0,0,0,0
39583078,3,3,2,0,3,0,0,0
39603074,1,1,0,0,0,0,0,1
38283100,2,2,0,0,2,2,0,1
